Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 2.094
10.000 90.435 4.164
20.000 91.728 5.153
30.000 93.841 6.406
40.000 96.718 9.928
50.000 100.289 15.849
60.000 104.478 23.101
70.000 109.207 30.231
80.000 114.404 33.634
90.000 120.000 34.984
100.000 125.932 29.225
110.000 132.145 17.852
120.000 138.590 6.767
130.000 145.225 9.606
140.000 152.009 23.850
150.000 158.909 37.350
160.000 165.894 47.920
170.000 172.933 55.068
180.000 180.000 57.546
