Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 3.068
10.000 90.435 3.353
20.000 91.728 3.677
30.000 93.841 3.188
40.000 96.718 4.849
50.000 100.289 5.606
60.000 104.478 6.424
70.000 109.207 7.459
80.000 114.404 8.732
90.000 120.000 9.546
100.000 125.932 11.459
110.000 132.145 12.836
120.000 138.590 13.619
130.000 145.225 13.800
140.000 152.009 13.855
150.000 158.909 13.475
160.000 165.894 12.602
170.000 172.933 11.293
180.000 180.000 11.121
