Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 27.706
10.000 90.435 27.427
20.000 91.728 26.432
30.000 93.841 26.425
40.000 96.718 27.268
50.000 100.289 27.063
60.000 104.478 25.671
70.000 109.207 21.905
80.000 114.404 15.024
90.000 120.000 10.269
100.000 125.932 1.098
110.000 132.145 6.395
120.000 138.590 17.226
130.000 145.225 27.691
140.000 152.009 38.408
150.000 158.909 48.675
160.000 165.894 56.202
170.000 172.933 64.039
180.000 180.000 67.432
