Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 46.164
10.000 90.435 45.983
20.000 91.728 46.560
30.000 93.841 49.254
40.000 96.718 42.921
50.000 100.289 45.766
60.000 104.478 41.697
70.000 109.207 22.988
80.000 114.404 24.012
90.000 120.000 8.649
100.000 125.932 3.165
110.000 132.145 9.571
120.000 138.590 27.013
130.000 145.225 47.875
140.000 152.009 59.048
150.000 158.909 79.517
160.000 165.894 92.144
170.000 172.933 99.442
180.000 180.000 104.422
