Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 6.889
10.000 90.435 6.817
20.000 91.728 6.742
30.000 93.841 7.807
40.000 96.718 8.378
50.000 100.289 10.246
60.000 104.478 10.811
70.000 109.207 11.941
80.000 114.404 13.094
90.000 120.000 14.206
100.000 125.932 16.006
110.000 132.145 16.719
120.000 138.590 18.165
130.000 145.225 19.256
140.000 152.009 20.126
150.000 158.909 20.839
160.000 165.894 22.285
170.000 172.933 23.242
180.000 180.000 23.269
